text,label,gpt run no. 1,gpt run no. 2,gpt run no. 3,gpt run no. 4,gpt run no. 5,gpt run no. 6,gpt run no. 7,gpt run no. 8,gpt run no. 9,gpt run no. 10
Thank god she doesn't get me to do this anymore!!! ellielippitt #barber  #hairdresser #blondie...,0,No,No,No,No,No,No,No,No,No,No
@user lol how and what is a cthulhu ?? Funny autocorrect so helpful,1,No,No,No,No,No,No,No,No,No,No
I refuse to be weak... #workout #motivation #fitfam,0,No,No,No,No,No,No,No,No,No,No
Why YES! Of course I use  a lot in my day....because violence is illegal.,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
@user @user @user no duh. ? Is will owners fire Goodell for it? My guess he gets a raise  #GoodellMustGo,1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
I hate plane rides but I wanna go to so many different countries,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Stop being the fan. And be the person blowing minds.,1,No,No,No,No,No,No,No,No,No,No
Ok watching how hurt parents are when their kids decide to elope definitely makes me change my mind about it. Small cozy wedding it is,1,No,No,No,No,No,No,No,No,No,No
I liked a @user video NEW Chocolate Bar Palette Review | Semi Sweet vs. Original,0,No,No,No,No,No,No,No,No,No,No
"@user Advertising an online special with an expiry countdown, yet you cant order anything or check your postcodes validity.",1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Love that I still have kids that still wake up early on Christmas  #justkiddingIlovethem,1,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
That moment when you have so much stuff to do but you open @user ... #productivity  #tumblr,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Oh god I just so happens that i love really LOVE slow internet #slowinternet,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Simply having a wonderful christmas time :D,0,No,No,No,No,No,No,No,No,No,No
isnt it the best when youre really tired then when you finally get in bed youre wide awake? I LOVE IT,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Breaking up with your girl so you don't have to buy her any presents ||#lowbudget #smartmove  #a #good #idea #butscheming doe,0,No,Yes,No,No,No,No,Yes,Yes,No,No
Glad there's not a typhoon where we go on holiday in 4 weeks.  #fml,1,No,Yes,Yes,Yes,Yes,No,No,No,No,No
#LOL with all due #Respect to #KobeBryant .. he is  #MJ ^_^ but damn near #Close !! #Legends,0,No,No,No,No,No,No,No,No,No,No
"@user @user you don't know a damned thing about baseball, do you?",0,No,No,No,No,No,No,No,No,No,No
"Rogers, that smile just so accurately captures my reaction when I receive an extra high phone bill!",1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
All I can say is I'm lucky.,0,No,No,No,No,No,No,No,No,No,No
"#notcies #eu Liverpool workers ""miscarriage of justice"" victims",0,No,No,No,No,No,No,No,No,No,No
"@user yesss! What makes it worse is when they look gorgeous and say ""I just got my face beat!"" Wtf?  #Contradiction",1,No,No,No,No,No,No,No,No,No,Yes
Xmas on the blog feat @user and @user * Read our story and share the LOVE ❤️ Click the link...,0,No,No,No,No,No,No,No,No,No,No
"Watching the move 'Begin Again' and the verisimilitude is overpowering, it's like I'm back in the 90s music business again.",1,No,No,No,No,No,No,No,No,No,No
This is not the moon. Pictures like the moon is made of light bulbs.  #the #moon :),0,No,No,No,No,No,No,No,No,No,No
I got ready and then got to school and parked in less than 12 minutes! #miracle,0,No,No,No,No,No,No,No,No,No,No
"@user yeah. So as you can see, I have great success with the ladies! And I'm totally excited for having sex some more!",1,No,No,No,No,No,No,No,No,No,No
I don't like clowns but I'm going to be one.,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MLS Transactions 2015 #MLS making waves again   2 b fair it will take more than 2 players to fix this,1,No,No,No,No,No,No,No,No,No,No
@user I'll be a bit sweaty by the time I get to you!,0,No,No,No,No,No,No,No,No,No,No
a bad game last night. Way to go Packers!,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
I hope I could recover from fever today. I need to start with strama..,0,No,No,No,No,No,No,No,No,No,No
"somebody wake me up early tomorrow ive been facing weird aches in my back since early december .,. and why do u think that relates madaka",0,No,No,No,No,No,No,No,No,No,No
The Champions League is overrated anyway!,1,No,No,No,No,No,No,No,No,No,No
Porygon2 are  found in the www.monstermmorpg. com wild. #firemen follow @user #paint,0,No,No,No,No,No,No,No,No,No,No
@user are you looking at the wrong profile picture?,0,No,No,No,No,No,No,No,No,No,No
@user One day I want to travel with my bestfriend 🌏✈️ DONE DID TRAVELED DA WORLD!! @user ❤️,0,No,No,No,No,No,No,No,No,No,No
@user u simply cant win with @user if it is twitter fight!!! :-P,0,No,No,No,No,No,No,No,No,No,No
Fully charged my #Anker portable charger...it lasted 1/2 an hour.  Awesome #Fail,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
#Italy -- #Cabinet #approves #first #planks of #Renzi's #labour #reform. via @user,0,No,No,No,No,No,No,No,No,No,No
ruling party in power#central#state#misusing their power#PM speaking only in foreign parliment#pm to visit out side india during session,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gareth's polar opposite is a chicken-loving vegetarian 😂🐣  #Bones @user,1,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No
Watching creepy shit before bed when alone = bad idea. Is there a spell to turn a French bulldog into a big ass bulldog? #bewareofdog,1,No,No,No,No,No,No,No,No,No,No
i do occupy rent free space in his cranial cavity LOL @user,0,No,No,No,No,No,No,No,No,No,No
Had to take a #PatioPics - snow falling still. This was totally clear when I went to sleep. #WCCO,0,No,No,No,No,No,No,No,No,No,No
"August has the most birthdays, February has the least and most of the serial killers are born in November!||-so dont mess up with me|#nov26",0,No,No,No,No,No,No,No,No,No,No
Lol RT @user Wouldn't surprise me if Soldado bangs in a hatrick and we win 0-3 against Chelsea tonight .. The legend is back,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
My husband thinks I'm crazy because I taped my tape dispenser. Hehe. I'm handy like that. ....,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
My secret name is lizard squad. I like to ruin people's fun time. Follow and rt to a billion and you'll have fun. #psn  #giveitup,1,No,No,No,No,No,No,No,No,No,No
"Tomorrow's afternoon #NFL sked in #PanamaCity area: WECP 12p #KCvsPIT, 3:25p #INDvsDAL; WPGX 12p #ATLvsNO.",0,No,No,No,No,No,No,No,No,No,No
@user @user I sure hope ev1 vaccinations are up to date! #GoBolts @user @user @user,0,No,No,No,No,No,No,No,No,No,No
Pulis turned down #NUFC cos he wants to spend a load of money on 30 year old journeymen. Parish wouldn't let him & neither would MA. #cpfc,0,No,No,No,No,No,No,No,No,No,No
Sending best wishes to all my coworkers at the 9AM this morning,1,No,No,No,No,No,No,No,No,No,No
@user try having no internet for a month. Now I know how Ethiopians feel.,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"so, sane peoples would talk to themselves in twitter because they can't find other sane humans to talk to. that  #retweet#ifagree",1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Thanks @user for connecting. Always look forward to exchange thoughts n ideas with #entrepreneur working on #green n #sustainability,0,No,No,No,No,No,No,No,No,No,No
Seems as if @user wants to endorse me on LinkedIn for  - any thoughts on this from the #OMCchat crowd?,0,No,No,No,No,No,No,No,No,No,No
Love being made fun of,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
@user @user @user Oh wow your talking Skype! Cool!,1,No,No,No,No,No,No,No,No,No,No
"he was half of what she deserved, yet he was all that she ever wanted ,,,,",1,No,No,No,No,No,No,No,No,No,No
#Christmas  #been #the #best @ West Monkseaton,0,No,No,No,No,No,No,No,No,No,No
Parking meter obviously forgot to get its own parking ticket.,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
About to fuck up this Media exam  #actuallyihopeso,1,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes
well today is gonna be a great day 👌,1,No,No,No,No,No,No,No,No,No,No
Heaven help the fool who did her wrong,0,No,No,No,No,No,No,No,No,No,No
"Just bartered for a bottle of rum in best one, and got it down from £18 to £14. Happy Fucking New Year to me!!",0,No,No,No,No,No,No,No,No,No,No
find ONE local PD that reported an 80% drop @user @user @user @user @user @user,0,No,No,No,No,No,No,No,No,No,No
@user @user Money 4 Church|http://t.co/Q2WB7riAvK|SmartPhone APP PAYS you!|See-http://t.co/RDlRuGN0iE |Go 2:,0,No,No,No,No,No,No,No,No,No,No
Well it's always a good time losing at the Bay... @user @user @user,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Welsh devolution? How's this for starters...,0,No,No,Your statement is incomplete. Please provide more information.,Can you provide a complete sentence or context?,"Sorry, this statement doesn't show any signs of irony. Can you please provide further details or more complete statements?",Your provided statement is incomplete. Please add more details to determine if it contains irony.,This statement is too vague to ascertain irony. Please provide more context.,This statement is too vague for a clear determination. Could you provide more context?,This statement is too vague to determine irony. Could you please provide more information or context?,"This statement is incomplete, so I can't determine whether it's ironic. Can you please provide more context or the rest of the statement?"
I love when folks call Brady a system QB but are THE BIGGEST Peyton Manning fans. .,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"@user Instead of playing the pompous ""do you know who I am card?"" , how about you actually make an educated rebuttal?",0,No,No,No,No,No,No,No,No,No,No
Kind of love how I got a voicemail from my seat neighbor wondering where I was yet they constantly sell their ticket & I never ask,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
I feel a nap in my near future. #NapTime,0,No,No,No,No,No,No,No,No,No,No
#AnalScreen #Exotic Exotic brunette gets her little tight butt nailed right on the office desk,0,No,No,No,No,No,No,No,No,No,No
#sundayfunday #mylove #mermaidlove #newyear2015 @ Rockefeller Center,0,No,No,No,No,No,No,No,No,No,No
The ever so caring @user gets to see the siege ending first. Great journalism.,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
